,Species,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
273,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
274,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
275,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
276,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
277,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
278,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
279,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.652, 9.141]","(-27.02, -26.295]"
280,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
281,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
282,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
283,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
284,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
285,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
286,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4050.0, 4750.0]",,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
287,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
288,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(213.0, 231.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
289,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
290,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
291,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
292,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
293,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
294,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
295,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
296,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
297,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
298,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
299,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
300,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
301,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
302,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
303,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
304,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
305,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
306,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(213.0, 231.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
307,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
308,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
309,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
310,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
311,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
312,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
313,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.652, 9.141]","(-25.834, -25.081]"
314,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
315,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
316,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
317,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
318,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
319,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
320,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
321,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
322,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
323,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.652, 9.141]","(-25.834, -25.081]"
324,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4050.0, 4750.0]",,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
325,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
326,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
327,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
328,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
329,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
330,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
331,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
332,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
333,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.652, 9.141]","(-25.834, -25.081]"
334,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
335,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
336,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
337,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
338,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
340,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
341,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
342,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-26.295, -25.834]"
343,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(197.0, 213.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
